race_code       Asian  Black  Native  Mult  Other  Undes  White
044              1.8%  29.1%    1.2%  1.2%   6.0%   4.6%  56.3%
045              1.2%  23.1%    1.7%  0.9%   4.9%   4.0%  64.2%
046              0.3%  26.8%    5.4%  0.3%   1.2%   1.2%  64.7%
047              0.3%  20.0%   51.9%  0.7%   2.6%   1.7%  22.8%
048              0.4%  56.1%    8.7%  0.5%   2.0%   1.8%  30.4%
049              1.4%   7.7%    0.2%  0.6%   2.6%   4.0%  83.4%
050              2.9%  13.3%    0.2%  0.8%   2.7%   3.7%  76.3%
051              0.5%  16.8%    0.5%  0.8%   3.8%   3.0%  74.7%
052              0.6%  12.4%    0.5%  0.3%   2.1%   1.2%  82.9%
053              0.7%  24.3%    0.7%  0.8%   3.4%   3.9%  66.1%
054              0.9%  16.5%    0.2%  0.6%   2.6%   5.1%  74.1%
055              0.4%  22.1%    0.2%  0.3%   1.5%   5.0%  70.5%
056              4.3%  11.4%    0.2%  1.9%   2.7%   7.5%  71.9%
057              1.4%  55.1%    0.3%  1.2%   2.3%   3.2%  36.6%
058              1.1%  54.1%    0.3%  1.5%   2.0%   4.1%  36.8%
059              0.9%  14.7%    0.2%  0.5%   1.6%   1.7%  80.3%
060              2.6%  60.0%    0.4%  1.2%   3.7%   3.6%  28.5%
061              2.8%  17.7%    0.3%  0.6%   2.9%   2.1%  73.7%
062              2.3%  13.9%    0.2%  0.8%   3.1%   2.2%  77.4%
063              0.6%  20.7%    0.3%  0.7%   2.2%   4.0%  71.4%
064              0.7%  20.4%    0.3%  0.7%   1.9%   4.2%  71.9%
065              0.2%  21.6%    0.2%  0.3%   1.0%   2.5%  74.3%
066              0.7%  25.9%    4.1%  0.7%   3.7%   1.7%  63.2%
067              0.8%  12.0%    0.2%  0.2%   1.3%   2.7%  82.7%
068              2.1%  11.6%    0.2%  0.5%   3.8%   2.9%  78.9%
069              1.1%  13.6%    0.3%  0.5%   3.7%   2.7%  78.0%
070              0.7%   6.9%    0.3%  0.3%   2.8%   1.8%  87.1%
071              0.9%  49.7%    0.3%  1.1%   3.6%   5.5%  39.0%
072              0.7%  49.0%    0.2%  0.9%   2.5%   5.0%  41.7%
073              0.4%   3.5%    0.1%  0.2%   1.3%   1.5%  93.0%
074              0.6%  11.3%    0.2%  0.5%   1.8%   2.6%  83.0%
075              1.1%  13.5%    0.2%  0.6%   2.6%   2.9%  79.2%
076              0.3%  13.8%    0.2%  0.3%   1.4%   2.0%  82.0%
077              0.5%  18.9%    0.2%  0.5%   1.8%   1.7%  76.4%
078              0.2%   6.5%    0.3%  0.3%   1.9%   1.3%  89.4%
079              0.8%   8.4%    0.1%  0.4%   1.8%   2.6%  85.8%
080              0.4%   9.4%    0.2%  0.2%   1.3%   2.4%  86.0%
081              0.6%   9.3%    0.3%  0.2%   1.6%   1.7%  86.4%
082              1.9%  18.8%    0.3%  0.7%   3.0%   3.9%  71.3%
083              0.7%  19.0%    0.3%  0.7%   2.4%   3.6%  73.4%
084              0.7%  14.6%    0.2%  0.4%   1.8%   1.8%  80.5%
085              0.3%   1.9%    0.1%  0.3%   0.9%   0.9%  95.7%
086              1.6%   6.6%    0.2%  0.2%   1.8%   1.1%  88.4%
087              0.3%   5.1%    0.1%  0.3%   1.2%   1.2%  91.8%
088              1.4%   7.3%    0.2%  0.6%   2.9%   2.8%  84.8%
089              1.6%   8.9%    0.1%  0.3%   1.9%   2.0%  85.2%
090              0.2%   3.8%    0.1%  0.2%   1.5%   2.9%  91.2%
091              0.1%  13.3%    0.2%  0.3%   1.0%   2.1%  83.0%
092              2.4%  21.2%    0.3%  0.8%   4.7%   3.9%  66.8%
093              0.6%   1.7%    0.1%  0.8%   1.2%   1.9%  93.8%
094              0.1%   3.8%    0.1%  0.3%   1.0%   1.3%  93.3%
095              0.9%   9.3%    0.2%  0.5%   1.9%   2.4%  84.8%
096              1.9%   9.2%    0.1%  0.5%   2.7%   2.1%  83.6%
097              0.3%   5.6%    0.2%  0.3%   1.5%   2.2%  90.0%
098              1.5%  12.2%    0.2%  0.7%   2.6%   3.2%  79.6%
099              1.7%  63.0%    0.3%  1.3%   5.8%   5.4%  22.4%
100              2.0%  35.8%    0.4%  1.2%   5.1%   4.7%  50.8%
101              2.0%  55.7%    0.3%  1.1%   3.2%   4.5%  33.3%
102              1.7%  55.2%    0.3%  1.1%   4.1%   4.6%  33.0%
103              1.8%  15.7%    0.3%  0.6%   3.9%   3.4%  74.3%
104              1.5%   7.6%    0.2%  0.5%   2.6%   2.5%  85.0%
105              4.6%  10.6%    0.4%  0.6%   5.0%   3.1%  75.7%
106              1.9%  61.9%    0.3%  1.5%   4.3%   5.5%  24.6%
107              2.0%  58.5%    0.2%  1.1%   3.7%   4.2%  30.2%
108              0.8%  16.5%    0.3%  0.6%   2.0%   3.7%  76.2%
109              0.8%  20.4%    0.2%  0.6%   1.9%   3.5%  72.6%
110              0.3%  17.0%    0.2%  0.4%   1.0%   2.7%  78.4%
111              0.3%  18.2%    0.1%  0.4%   0.8%   2.1%  78.0%
112              0.3%   9.0%    0.1%  0.3%   1.1%   2.5%  86.7%
113              0.3%   3.1%    0.2%  0.4%   1.0%   2.0%  93.1%
114              0.6%  11.1%    0.2%  0.9%   2.4%   4.7%  80.1%
115              0.4%   2.1%    0.2%  0.4%   1.6%   3.0%  92.3%
116              0.6%   3.4%    0.2%  0.4%   2.1%   3.2%  90.1%
117              0.5%   3.5%    0.2%  0.5%   1.9%   2.6%  90.8%
118              0.2%   0.9%    0.2%  0.2%   0.6%   1.8%  96.1%
119              0.6%   1.8%    6.3%  0.6%   0.8%   2.6%  87.4%
120              0.3%   0.7%    0.8%  0.2%   0.7%   1.3%  96.0%
